Description,ICD Code
Visuospatial deficit and spatial neglect following nontraumatic subarachnoid hemorrhage,I69.012
Psychomotor deficit following nontraumatic subarachnoid hemorrhage,I69.013
Frontal lobe and executive function deficit following nontraumatic subarachnoid hemorrhage,I69.014
Cognitive social or emotional deficit following nontraumatic subarachnoid hemorrhage,I69.015
Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage,I69.018
Unspecified symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage,I69.019
Cognitive deficits following nontraumatic intracerebral hemorrhage,I69.11
Attention and concentration deficit following nontraumatic intracerebral hemorrhage,I69.110
Memory deficit following nontraumatic intracerebral hemorrhage,I69.111
Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage,I69.112
Psychomotor deficit following nontraumatic intracerebral hemorrhage,I69.113
Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage,I69.114
Cognitive social or emotional deficit following nontraumatic intracerebral hemorrhage,I69.115
Other symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage,I69.118
Unspecified symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage,I69.119
Cognitive deficits following other nontraumatic intracranial hemorrhage,I69.21
Attention and concentration deficit following other nontraumatic intracranial hemorrhage,I69.210
Memory deficit following other nontraumatic intracranial hemorrhage,I69.211
Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage,I69.212
Psychomotor deficit following other nontraumatic intracranial hemorrhage,I69.213
Frontal lobe and executive function deficit following other nontraumatic intracranial hemorrhage,I69.214
Cognitive social or emotional deficit following other nontraumatic intracranial hemorrhage,I69.215
Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage,I69.218
Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage,I69.219
Cognitive deficits following cerebral infarction,I69.31
Attention and concentration deficit following cerebral infarction,I69.310
Memory deficit following cerebral infarction,I69.311
Visuospatial deficit and spatial neglect following cerebral infarction,I69.312
Psychomotor deficit following cerebral infarction,I69.313
Frontal lobe and executive function deficit following cerebral infarction,I69.314
Cognitive social or emotional deficit following cerebral infarction,I69.315
Other symptoms and signs involving cognitive functions following cerebral infarction,I69.318
Unspecified symptoms and signs involving cognitive functions following cerebral infarction,I69.319
Cognitive deficits following other cerebrovascular disease,I69.81
Attention and concentration deficit following other cerebrovascular disease,I69.810
Memory deficit following other cerebrovascular disease,I69.811
Visuospatial deficit and spatial neglect following other cerebrovascular disease,I69.812
Psychomotor deficit following other cerebrovascular disease,I69.813
Frontal lobe and executive function deficit following other cerebrovascular disease,I69.814
Cognitive social or emotional deficit following other cerebrovascular disease,I69.815
Other symptoms and signs involving cognitive functions following other cerebrovascular disease,I69.818
Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease,I69.819
Cognitive deficits following unspecified cerebrovascular disease,I69.91
Attention and concentration deficit following unspecified cerebrovascular disease,I69.910
Memory deficit following unspecified cerebrovascular disease,I69.911
Visuospatial deficit and spatial neglect following unspecified cerebrovascular disease,I69.912
Psychomotor deficit following unspecified cerebrovascular disease,I69.913
Frontal lobe and executive function deficit following unspecified cerebrovascular disease,I69.914
Cognitive social or emotional deficit following unspecified cerebrovascular disease,I69.915
Other symptoms and signs involving cognitive functions following unspecified cerebrovascular disease,I69.918
Unspecified symptoms and signs involving cognitive functions following unspecified cerebrovascular disease,I69.919
Aneurysm of other precerebral arteries,I72.5
Aneurysm of vertebral artery,I72.6
Dissection of unspecified artery,I77.70
Dissection of other precerebral arteries,I77.75
Dissection of artery of upper extremity,I77.76
Dissection of artery of lower extremity,I77.77
"Postprocedural hemorrhage, hematoma and seroma of a circulatory system organ or structure following other procedure",I97.62
Postprocedural hemorrhage of a circulatory system organ or structure following other procedure,I97.620
Postprocedural hematoma of a circulatory system organ or structure following other procedure,I97.621
Postprocedural seroma of a circulatory system organ or structure following other procedure,I97.622
Postprocedural hematoma of a circulatory system organ or structure following a circulatory system procedure,I97.63
Postprocedural hematoma of a circulatory system organ or structure following a cardiac catheterization,I97.630
Postprocedural hematoma of a circulatory system organ or structure following cardiac bypass,I97.631
Postprocedural hematoma of a circulatory system organ or structure following other circulatory system procedure,I97.638
Postprocedural seroma of a circulatory system organ or structure following a circulatory system procedure,I97.64
Postprocedural seroma of a circulatory system organ or structure following a cardiac catheterization,I97.640
Postprocedural seroma of a circulatory system organ or structure following cardiac bypass,I97.641
Postprocedural seroma of a circulatory system organ or structure following other circulatory system procedure,I97.648
Postprocedural hematoma and seroma of a respiratory system organ or structure following a procedure,J95.86
Postprocedural hematoma of a respiratory system organ or structure following a respiratory system procedure,J95.860
Postprocedural hematoma of a respiratory system organ or structure following other procedure,J95.861
Postprocedural seroma of a respiratory system organ or structure following a respiratory system procedure,J95.862
Postprocedural seroma of a respiratory system organ or structure following other procedure,J95.863
"Diseases of mediastinum, not elsewhere classified",J98.5
Mediastinitis,J98.51
"Other diseases of mediastinum, not elsewhere classified",J98.59
Pulpitis,K04.0
Reversible pulpitis,K04.01
Irreversible pulpitis,K04.02
"Aggressive periodontitis, localized",K05.21
"Aggressive periodontitis, localized, slight",K05.211
"Aggressive periodontitis, localized, moderate",K05.212
"Aggressive periodontitis, localized, severe",K05.213
"Aggressive periodontitis, localized, unspecified severity",K05.219
"Aggressive periodontitis, generalized",K05.22
"Aggressive periodontitis, generalized, slight",K05.221
"Aggressive periodontitis, generalized, moderate",K05.222
"Aggressive periodontitis, generalized, severe",K05.223
"Aggressive periodontitis, generalized, unspecified severity",K05.229
"Chronic periodontitis, localized",K05.31
"Chronic periodontitis, localized, slight",K05.311
"Chronic periodontitis, localized, moderate",K05.312
"Chronic periodontitis, localized, severe",K05.313
"Chronic periodontitis, localized, unspecified severity",K05.319
"Chronic periodontitis, generalized",K05.32
"Chronic periodontitis, generalized, slight",K05.321
"Chronic periodontitis, generalized, moderate",K05.322
"Chronic periodontitis, generalized, severe",K05.323
"Chronic periodontitis, generalized, unspecified severity",K05.329
Horizontal alveolar bone loss,K06.3
Other specified disorders of teeth and supporting structures,K08.8
Primary occlusal trauma,K08.81
Secondary occlusal trauma,K08.82
Other specified disorders of teeth and supporting structures,K08.89
Allergic and dietetic gastroenteritis and colitis,K52.2
Food protein-induced enterocolitis syndrome,K52.21
Food protein-induced enteropathy,K52.22
Other allergic and dietetic gastroenteritis and colitis,K52.29
Indeterminate colitis,K52.3
Microscopic colitis,K52.83
Collagenous colitis,K52.831
Lymphocytic colitis,K52.832
Other microscopic colitis,K52.838
"Microscopic colitis, unspecified",K52.839
Acute vascular disorders of intestine,K55.0
Acute (reversible) ischemia of small intestine,K55.01
Focal (segmental) acute (reversible) ischemia of small intestine,K55.011
Diffuse acute (reversible) ischemia of small intestine,K55.012
"Acute (reversible) ischemia of small intestine, extent unspecified",K55.019
Acute infarction of small intestine,K55.02
Focal (segmental) acute infarction of small intestine,K55.021
Diffuse acute infarction of small intestine,K55.022
"Acute infarction of small intestine, extent unspecified",K55.029
Acute (reversible) ischemia of large intestine,K55.03
Focal (segmental) acute (reversible) ischemia of large intestine,K55.031
Diffuse acute (reversible) ischemia of large intestine,K55.032
"Acute (reversible) ischemia of large intestine, extent unspecified",K55.039
Acute infarction of large intestine,K55.04
Focal (segmental) acute infarction of large intestine,K55.041
Diffuse acute infarction of large intestine,K55.042
"Acute infarction of large intestine, extent unspecified",K55.049
"Acute (reversible) ischemia of intestine, part unspecified",K55.05
"Focal (segmental) acute (reversible) ischemia of intestine, part unspecified",K55.051
"Diffuse acute (reversible) ischemia of intestine, part unspecified",K55.052
"Acute (reversible) ischemia of intestine, part and extent unspecified",K55.059
"Acute infarction of intestine, part unspecified",K55.06
"Focal (segmental) acute infarction of intestine, part unspecified",K55.061
"Diffuse acute infarction of intestine, part unspecified",K55.062
"Acute infarction of intestine, part and extent unspecified",K55.069
